"APV","ATV","IDV","LPV","NFV","RTV","SQV"
0.8,0.9,0.8,0.8,0.9,1.2,0.9
0.3,0.5,0.4,0.3,0.4,0.3,0.6
1.5,NA,1.5,1.5,1.8,1.8,1
66,400,400,199,400,400,400
0.7,NA,0.7,0.7,0.8,0.6,0.6
1.2,1.6,1.9,1,4.4,2.1,1.8
1.2,NA,1.6,1.1,3,1.6,1.1
0.6,0.8,0.8,0.8,0.7,0.6,0.9
0.6,NA,0.8,0.6,1.5,0.8,0.7
132,NA,25,213,43,400,9.3
16,9.8,5.7,41,8,82,6.5
0.7,NA,0.7,0.7,1,1,0.6
6,NA,11,48,29,400,10
3.7,NA,16,48,54,118,10
25,NA,45,97,84,108,157
0.9,NA,1.2,0.7,1.9,1.1,0.8
9.2,NA,18,71,31,162,6.5
1.5,6.7,3.3,2.3,118,2.7,6.3
0.4,NA,0.7,0.5,1,0.6,0.5
0.6,NA,0.6,0.5,0.8,0.6,0.6
0.7,NA,0.8,0.6,1.1,0.6,0.5
0.6,NA,0.6,0.7,0.8,0.7,0.5
0.9,NA,1.1,0.9,1.9,1.1,0.7
1.5,NA,1.7,1.5,2.9,2.1,1.7
NA,5.8,NA,0.2,NA,NA,NA
NA,3.5,NA,0.2,NA,NA,NA
0.6,NA,0.4,NA,1,0.4,0.3
0.4,NA,0.4,NA,0.7,0.5,0.3
0.5,NA,0.7,NA,0.9,0.7,0.7
0.4,NA,0.4,NA,0.8,0.5,0.5
0.5,NA,0.4,NA,0.7,0.5,0.6
0.2,NA,0.3,NA,0.3,0.2,0.3
1,NA,0.6,NA,1.1,0.7,0.8
0.5,NA,0.4,NA,0.5,0.4,0.4
0.7,NA,1,NA,1.8,1.6,1.4
0.5,NA,0.8,NA,0.9,0.9,0.7
0.4,NA,0.4,NA,0.5,0.6,0.5
0.2,NA,0.2,NA,0.3,0.2,0.2
0.4,NA,0.3,NA,0.5,0.3,0.4
1.1,NA,1,NA,2.1,1.1,0.9
0.7,NA,0.8,NA,1.5,0.8,0.7
0.8,NA,0.8,NA,1.4,1.1,0.7
0.5,NA,0.2,NA,0.4,0.2,0.3
0.5,NA,0.9,NA,1.6,1,0.6
0.4,NA,0.3,NA,0.3,0.4,0.4
0.3,NA,0.2,NA,0.4,0.4,0.2
0.6,NA,0.7,NA,0.9,0.7,0.7
0.7,NA,0.6,NA,0.7,0.6,0.5
0.7,NA,0.8,NA,1.6,0.9,0.6
0.8,NA,1,NA,1.7,1.1,0.8
0.5,NA,0.6,NA,1,0.5,0.5
0.5,NA,0.6,NA,1.1,0.6,0.7
0.3,NA,0.4,NA,0.8,0.3,0.2
0.7,NA,0.8,NA,1.8,0.9,0.8
0.3,NA,0.3,NA,0.4,0.4,0.3
0.6,NA,0.5,NA,1.1,0.5,0.7
0.6,NA,0.4,NA,0.6,0.5,0.5
0.7,NA,0.8,NA,0.8,0.9,0.6
0.4,NA,0.4,NA,0.6,0.6,0.5
0.8,NA,0.6,NA,0.8,0.9,0.4
0.4,NA,0.5,NA,0.8,0.9,0.6
1.1,NA,0.6,NA,0.6,0.7,0.6
0.4,NA,0.6,NA,0.9,0.4,0.2
0.7,NA,0.7,NA,0.9,0.8,0.5
1.1,NA,1.3,NA,1.2,1,0.8
0.5,NA,0.5,NA,0.7,0.6,0.4
0.2,NA,0.2,NA,0.5,0.2,0.3
0.5,NA,0.6,NA,1,0.8,0.7
0.4,NA,0.5,NA,0.8,0.7,0.7
0.3,NA,0.3,NA,0.8,0.3,0.3
0.4,NA,0.3,NA,0.6,0.4,0.3
0.3,NA,0.4,NA,0.5,0.5,0.4
0.5,NA,0.5,NA,0.9,0.5,0.3
0.7,NA,0.8,NA,0.8,0.8,1
0.3,NA,0.6,NA,1.3,0.6,0.5
0.4,NA,0.4,NA,0.4,0.4,0.3
0.7,NA,0.4,NA,0.8,0.9,0.4
0.6,NA,0.6,NA,0.8,0.7,0.5
0.5,NA,0.6,NA,0.9,0.7,0.5
0.4,NA,0.5,NA,0.8,0.6,0.5
0.6,NA,0.6,NA,1.1,0.9,0.6
0.5,NA,0.7,NA,0.9,0.8,0.5
5.4,10,NA,2.5,14,9.9,3.1
1.1,0.9,NA,0.9,1.7,1.4,0.8
21,2.8,NA,219,50,139,7.6
8,87,NA,73,82,188,93
34,5.8,NA,83,6.5,67,2.8
34,1.6,NA,40,4.9,29,0.9
4.2,0.4,NA,3.4,1.3,1.6,0.3
11,0.8,NA,86,10,46,1.3
6.1,1.6,NA,78,12,35,1.7
1.4,2.9,NA,20,10,57,2.2
0.7,0.7,NA,0.7,0.9,0.8,0.8
21,5.2,NA,104,18,81,2.6
142,51,NA,233,15,162,18
2.8,NA,7.2,8.1,1.6,NA,1
1.8,NA,2.3,1.2,42,NA,6
3.9,NA,53,70,68,NA,400
9.1,NA,8.1,8.5,12,NA,27
6,NA,13,20,5.2,NA,3.2
37,NA,1.3,13,3.6,NA,1.7
13,NA,10,43,31,NA,85
4.5,NA,31,17,40,NA,106
8.7,NA,39,28,72,NA,193
7.7,NA,3.3,17,8.1,NA,1.5
9.7,NA,29,47,33,NA,125
5.7,NA,28,22,27,NA,47
21,NA,11,60,31,NA,61
69,NA,33,130,172,NA,400
6.9,NA,39.9,39.1,44.1,NA,NA
23.3,NA,13.2,77.3,41.6,NA,NA
16.3,NA,20.4,87.4,30.5,NA,NA
11.4,NA,149.8,86.4,156.8,NA,NA
16.5,NA,58,92.5,178,NA,NA
1.1,NA,5.6,NA,15,4.8,3.4
9.9,NA,8.3,NA,32,16,3.7
4.8,NA,11,NA,11,29,1.1
31,NA,20,NA,29,45,1.8
48,NA,22,NA,38,55,29
5,NA,38,NA,68,30,89
3.1,NA,8.4,NA,6.9,9.2,1.8
27,NA,36,NA,66,116,69
0.5,NA,1.1,0.4,23,0.6,1.1
2.2,10,21,25,13,49,5
3.8,25,29,8,89,22,55
0.8,0.6,1.2,1.3,1.6,2,1.5
0.6,0.6,0.8,0.6,1.4,1.1,0.7
5.2,110,9.8,13,6.4,30,2.6
0.2,0.6,0.5,0.5,0.6,0.6,0.5
1.1,1,1,0.9,1,1.1,0.8
0.9,NA,0.7,0.7,1,0.8,0.7
0.9,0.9,0.7,0.8,0.9,0.7,0.9
0.6,NA,0.9,0.6,1.4,0.8,0.7
6.9,16,14,47,40,51,24
146,53,26,198,32,400,11
44,187,400,139,114,400,59
37,NA,18,100,19,140,18
1.2,3.1,2.8,1.2,5.5,5,3.2
3.5,28,30,52,44,240,98
0.8,0.7,0.9,0.4,1.5,0.9,1.1
187,70,31,306,51,400,11
43,NA,19,67,32,44,15
0.7,NA,2.1,6.5,3.4,11,0.6
0.7,NA,0.8,1,1.3,1,0.6
2.2,NA,14,27,27,50,6.9
0.7,NA,0.4,0.5,0.5,0.5,0.5
0.6,NA,0.6,0.6,0.5,0.6,0.7
2.4,NA,13,26,24,35,3.9
6.3,NA,44,30,73,78,164
5.5,NA,12,6.2,35,13,26
0.4,NA,0.3,0.3,0.4,0.6,0.6
0.9,NA,0.8,0.8,1.2,1,0.6
0.4,NA,0.9,0.6,1.1,0.8,1
1.4,NA,6,1.6,15,2,2.7
0.6,NA,0.6,0.5,0.6,0.6,0.5
0.4,NA,0.5,0.4,0.5,0.5,0.4
1.5,NA,4.8,5.8,1.1,9.8,1.2
0.5,NA,0.8,0.5,1,0.7,0.7
1.9,NA,7.7,12,9.4,35,2.3
0.5,NA,0.7,0.5,0.7,0.4,0.7
6.1,NA,164,87,228,146,376
0.5,NA,0.4,0.3,0.4,0.5,0.5
13,NA,43,108,17,74,2.5
4.2,NA,12,27,14,51,1.4
0.4,NA,0.4,0.4,0.5,0.4,0.4
0.9,NA,2.8,4.9,2.5,9.9,0.4
14,NA,7,37,5.8,18,0.3
2.1,NA,3.3,2.7,2.1,4.8,0.2
0.8,NA,0.8,0.7,1,1,0.6
0.3,NA,0.3,0.3,0.4,0.3,0.2
24,NA,89,211,268,181.8,63
0.7,0.9,0.7,1,1,0.8,0.6
0.2,0.5,0.4,0.4,0.6,0.3,0.6
0.6,0.8,1,0.6,1.4,0.8,0.9
0.7,0.9,1.2,0.7,1.7,0.8,0.9
1.7,NA,NA,5.8,19.2,30.8,0.1
0.5,NA,0.5,0.5,0.6,0.5,0.4
2.2,NA,2.3,4.5,7.4,14.8,0.2
NA,NA,2.3,3.3,2.3,6.5,0.6
1,NA,1.4,0.9,1.9,1.2,0.9
1.6,NA,4.1,2.9,9,59.5,1.8
1.1,NA,1.6,1.7,1.8,7.7,0.7
1.1,NA,1.1,1,1.6,1.2,1
0.3,NA,0.6,1.2,0.5,3.4,0.4
1.6,NA,6.9,13.6,6.7,33.9,1.3
1.1,3.3,4,1.8,8.5,4.2,3.2
1.2,2.6,3.5,1.9,3.5,5.3,0.5
0.9,1.3,1.2,0.8,1.7,1,0.9
6.6,23,11,5.3,56,36,12
0.7,1.1,1.2,1.6,1.6,7.5,0.4
14,120,140,99,110,190,400
300,400,62,120,160,300,400
0.8,2.1,1.6,2.2,1.6,11,0.6
19,53,15,130,28,400,87
0.7,1.9,1.8,2.2,1.6,18,0.8
400,400,33,400,91,NA,400
25,32,24,47,41,NA,200
34,112,23,72,128,NA,400
40,58,9.4,116,67,NA,400
3.9,3.2,6.5,4.3,17,NA,23
3.8,6.8,9.2,4.1,21,NA,18
5,7.3,9.9,4.9,11,18,1.3
0.4,4.1,0.4,0.3,0.6,0.2,0.5
21,60,31,110,81,300,77
0.3,0.6,0.4,0.4,0.7,0.4,0.6
0.9,1,0.8,0.9,1.1,0.7,0.8
5.3,32,24,8.5,91,52,300
7.8,63,21,35,54,79,64
7.8,63,21,35,54,79,64
2.5,10,9.6,6.8,15,19,2.9
0.6,0.5,0.6,0.3,0.7,0.5,0.3
1.7,1.3,1.4,1,1.1,1.6,0.8
0.2,0.3,0.3,0.2,0.3,0.3,0.3
0.8,0.6,0.7,0.8,1.4,0.9,0.5
0.4,0.4,0.5,0.5,0.5,0.5,0.6
0.9,0.9,0.9,0.6,0.7,0.7,0.6
0.5,1.2,1,1,1.4,0.8,0.8
0.7,0.7,0.6,0.7,0.7,0.6,0.7
14,13,42,67,58,102,18
1.3,3.1,4.6,2.9,3.7,12,0.9
4.6,208,6.7,7.5,6.6,36,0.9
33,29,20,38,48,122,93
0.7,0.8,0.9,0.4,1.5,0.9,1.1
4.6,8.1,7.9,8.3,14,33,22
9.6,30,42,14,48,34,66
22,38,15,34,30,82,66
15,0.8,37,210,9.4,25,1.4
2.6,76,4.2,3.6,8.3,6.5,1.6
